SECTORES ECONÓMICOS;2010;;;;;;;;;;;2011;;;; ECONOMIC SECTORS
;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Ene.-Mar.;
;;;;;;;;;;;;;;;;
Agropecuario ;2.96084575;7.362862527;2.52213815;3.60892361;4.446049915;-0.920239831;3.441322634;4.946452809;6.758289944;7.854083094;4.286827564;4.930750753;5.245248205;-0.709866644;2.919511286;Agriculture and Livestock
  Agrícola;3.307131961;9.153202739;0.161247563;4.05181202;4.727530802;-2.458190915;3.476133837;5.547189343;5.519857659;9.003014667;4.176112876;1.721036507;2.938801315;-5.230792616;-0.661762554;  Agriculture
  Pecuario;2.453965883;3.538357075;8.281472625;2.779420104;4.037259704;0.863967914;3.405846824;4.3023472;8.22452649;6.553299455;4.437536655;8.744726842;7.937630569;5.969233988;7.523412919;  Livestock
;;;;;;;;;;;;;;;;
Pesca;13.14808263;-25.26379253;-14.65829675;11.9487067;-15.15322677;-32.20044522;-34.1874565;-15.5912893;-33.86918639;-21.48477088;-16.44431964;33.44621245;15.84169789;4.61060608;16.16551788;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-2.538860981;-2.088655387;-0.765622233;8.094603144;0.752796712;-5.546719086;-1.919375084;-0.664300955;-3.567981264;1.289579297;-0.148622392;-0.051265643;-3.596162831;2.672957648;-0.305352948;Mining and fuel
  Minería metálica;-5.491298373;-6.136513953;-4.573292152;3.978205248;-3.923187947;-12.9652671;-8.092519309;-7.024601034;-10.75622049;-4.981242178;-4.908845891;-6.213339366;-9.701113054;-0.856615784;-5.618187806;  Metals
  Hidrocarburos;10.0804275;16.93380106;16.51550182;33.14302263;31.14832814;43.27228297;37.82610332;43.63448747;45.84460033;44.89061757;29.45930623;42.03004419;37.52117446;24.74905101;34.6332778;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;15.25050467;15.4906668;13.6638081;21.54797394;17.19364623;18.79713438;16.13312176;14.72065401;14.72503218;9.54907546;13.61666709;14.867;11.03333398;10.30277081;12.02929439;Manufacturing
  De recursos primarios;0.976465005;-4.727128103;-9.454655786;10.22562625;14.64047356;-5.602316353;-1.626620476;8.895056119;-5.767923266;-11.77852779;-2.338641499;14.141;9.835186446;12.205;12.11479277;  Based on raw materials
  No primaria;18.10699148;19.80545427;20.18913057;24.21120516;17.64856395;23.37203176;19.2259339;15.66300239;18.93247207;13.95987248;16.88936506;14.99573572;11.24;9.976141142;12.02079535;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;7.949359207;7.86783515;7.18891099;10.92724048;10.63725119;7.907614663;6.808437272;8.223350966;7.479457268;6.150152331;7.689059227;7.506291466;7.675730107;6.502951373;7.207495918;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;24.14268612;21.07692475;20.88444068;22.64944424;12.27942783;14.11643019;22.97307046;10.70891397;23.78232159;12.4949705;17.43063374;16.21;4.9;3.6;8.067059388;Construction
;;;;;;;;;;;;;;;;
Comercio;10.6;11.09566962;11.0893015;10.7421989;8.86;8.969432707;10.96267681;7.971081074;10.81606871;10.88569064;9.687805823;10.1517589;10.84;9.189543431;10.03839133;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;6.956413636;7.65593264;8.392216222;10.51716233;8.707865819;9.587673535;9.525356812;8.222797585;9.439533846;9.040501936;8.045119026;9.854151128;9.130114191;9.310630608;9.427595607;Other services 2/
;;;;;;;;;;;;;;;;
PBI;8.878233403;9.262515942;8.92111428;11.96111074;9.261682088;9.208270122;10.33788826;8.512241952;10.19206636;8.933644365;8.794748028;10.18085648;8.407788468;7.868909745;8.79655812;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;1.012161844;1.879532842;-1.033641685;6.25544011;4.222090526;-4.058273518;-0.315244292;2.947496032;-0.647052458;1.088096722;1.11501688;5.236687865;3.061682845;2.675188678;3.631404618;Primary sectors
Sectores no primarios;10.5139403;10.96169476;11.41969878;13.26493819;10.26497723;11.81420385;12.27681575;9.472938964;12.25147564;10.29071825;10.3401096;11.10254828;9.39148634;8.856058985;9.761988869;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;1.267687096;0.687721065;1.020449699;1.075285968;0.13339674;0.665639172;1.284744494;0.905421703;0.203830602;0.221749755;;0.867977804;-0.269438692;0.362553032;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;13.74016087;11.91673783;15.78597124;14.96948642;14.86301685;15.24095904;15.39434397;13.29775085;14.196984;12.23086094;12.83125755;12.64862416;11.50445421;8.456055947;10.80467134;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;3.051160301;-0.128466953;3.451756087;-1.274539022;2.89659784;0.490714934;0.868330995;1.501644782;-0.699696649;0.344768789;;1.719354204;-1.157379737;-0.366303344;;Seasonally adjusted domestic demand indicator 3/
